icpsr,name,party,congress,state
14511,"WALLOP, Malcolm",Rep,96,WY
10791,"PRYOR, David Hampton",Dem,96,AR
7722,"RANDOLPH, Jennings",Dem,96,WV
10800,"BAYH, Birch Evans",Dem,96,IN
10802,"BYRD, Harry Flood, Jr.",Ind,96,VA
10808,"KENNEDY, Edward Moore (Ted)",Dem,96,MA
10816,"NELSON, Gaylord Anton",Dem,96,WI
10818,"PELL, Claiborne de Borda",Dem,96,RI
10823,"TOWER, John Goodwin",Rep,96,TX
3658,"GOLDWATER, Barry Morris",Rep,96,AZ
14009,"COCHRAN, William Thad",Rep,96,MS
6256,"McGOVERN, George Stanley",Dem,96,SD
11029,"McCLURE, James Albertus",Rep,96,ID
5767,"LONG, Russell Billiu",Dem,96,LA
10605,"MATSUNAGA, Spark Masayuki",Dem,96,HI
660,"BENTSEN, Lloyd Millard, Jr.",Dem,96,TX
5913,"MAGNUSON, Warren Grant",Dem,96,WA
9369,"THURMOND, James Strom",Rep,96,SC
14500,"CHAFEE, John Hubbard",Rep,96,RI
14501,"DANFORTH, John Claggett",Rep,96,MO
14502,"DeCONCINI, Dennis Webster",Dem,96,AZ
7847,"RIBICOFF, Abraham Alexander",Dem,96,CT
14504,"HAYAKAWA, Samuel Ichiye",Rep,96,CA
14506,"LUGAR, Richard Green",Rep,96,IN
14508,"MOYNIHAN, Daniel Patrick",Dem,96,NY
14509,"SASSER, James Ralph",Dem,96,TN
14510,"SCHMITT, Harrison Hagan",Rep,96,NM
6831,"MUSKIE, Edmund Sixtus",Dem,96,ME
14512,"ZORINSKY, Edward",Dem,96,NE
14002,"ARMSTRONG, William Lester",Rep,96,CO
8883,"STENNIS, John Cornelius",Dem,96,MS
1721,"CHURCH, Frank Forrester",Dem,96,ID
14010,"COHEN, William Sebastian",Rep,96,ME
4812,"INOUYE, Daniel Ken",Dem,96,HI
10450,"YOUNG, Milton Ruben",Rep,96,ND
1252,"BURDICK, Quentin Northrup",Dem,96,ND
13039,"SARBANES, Paul Spyros",Dem,96,MD
4851,"JACKSON, Henry Martin (Scoop)",Dem,96,WA
14073,"METZENBAUM, Howard Morton",Dem,96,OH
13050,"HEINZ, Henry John, III",Rep,96,PA
14077,"LAXALT, Paul Dominque",Rep,96,NV
12032,"WEICKER, Lowell Palmer, Jr.",Rep,96,CT
7638,"PROXMIRE, William",Dem,96,WI
12039,"MELCHER, John",Dem,96,MT
10513,"DOLE, Robert Joseph",Rep,96,KS
14101,"BIDEN, Joseph Robinette, Jr.",Dem,96,DE
14103,"DOMENICI, Pete Vichi",Rep,96,NM
14105,"HELMS, Jesse",Rep,96,NC
14106,"HUDDLESTON, Walter Darlington",Dem,96,KY
14107,"JOHNSTON, John Bennett, Jr.",Dem,96,LA
14108,"NUNN, Samuel Augustus",Dem,96,GA
4898,"JAVITS, Jacob Koppel",Rep,96,NY
11043,"RIEGLE, Donald Wayne, Jr.",Dem,96,MI
11044,"ROTH, William Victor, Jr.",Rep,96,DE
10535,"MATHIAS, Charles McCurdy, Jr.",Rep,96,MD
13101,"CHILES, Lawton Mainor, Jr.",Dem,96,FL
13102,"STEVENSON, Adlai Ewing III",Dem,96,IL
10557,"SCHWEIKER, Richard Schultz",Rep,96,PA
10562,"STAFFORD, Robert Theodore",Rep,96,VT
12101,"BELLMON, Henry Louis",Rep,96,OK
12103,"CRANSTON, Alan",Dem,96,CA
12104,"EAGLETON, Thomas Francis",Dem,96,MO
12105,"GRAVEL, Maurice Robert (Mike)",Dem,96,AK
12107,"PACKWOOD, Robert William",Rep,96,OR
12109,"STEVENS, Theodore Fulton (Ted)",Rep,96,AK
1366,"BYRD, Robert Carlyle",Dem,96,WV
14700,"BOREN, David Lyle",Dem,96,OK
14701,"BOSCHWITZ, Rudolph Eli (Rudy)",Rep,96,MN
14702,"BRADLEY, William Warren (Bill)",Dem,96,NJ
14703,"DURENBERGER, David Ferdinand",Rep,96,MN
14704,"EXON, J. James",Dem,96,NE
14705,"HEFLIN, Howell Thomas",Dem,96,AL
14706,"HUMPHREY, Gordon John",Rep,96,NH
14707,"JEPSEN, Roger William",Rep,96,IA
14708,"KASSEBAUM, Nancy Landon",Rep,96,KS
14709,"LEVIN, Carl",Dem,96,MI
14710,"SIMPSON, Alan Kooi",Rep,96,WY
14711,"STEWART, Donald Wilbur",Dem,96,AL
14712,"WARNER, John William",Rep,96,VA
14713,"MITCHELL, George John",Dem,96,ME
14203,"BAUCUS, Max Sieben",Dem,96,MT
10147,"WILLIAMS, Harrison Arlington, Jr.",Dem,96,NJ
14268,"PRESSLER, Larry Lee",Rep,96,SD
11200,"BAKER, Howard Henry, Jr.",Rep,96,TN
11203,"HATFIELD, Mark Odom",Rep,96,OR
11204,"HOLLINGS, Ernest Frederick",Dem,96,SC
11205,"PERCY, Charles Harting",Rep,96,IL
14279,"TSONGAS, Paul Efthemios",Dem,96,MA
1482,"CANNON, Howard Walter",Dem,96,NV
9174,"TALMADGE, Herman Eugene",Dem,96,GA
10715,"CULVER, John Chester",Dem,96,IA
14300,"BUMPERS, Dale",Dem,96,AR
14302,"FORD, Wendell Hampton",Dem,96,KY
14303,"GARN, Edwin Jacob (Jake)",Rep,96,UT
14304,"GLENN, John Herschel, Jr.",Dem,96,OH
14305,"HART, Gary Warren",Dem,96,CO
14307,"LEAHY, Patrick Joseph",Dem,96,VT
14308,"MORGAN, Robert Burren",Dem,96,NC
14309,"STONE, Richard Bernard",Dem,96,FL
14310,"DURKIN, John Anthony",Dem,96,NH
14503,"HATCH, Orrin Grant",Rep,96,UT
